,Date,tmax,Days
56249,2018-01-02,18.1,0
56250,2018-01-03,17.2,1
56251,2018-01-04,14.2,2
56252,2018-01-05,6.3,3
56253,2018-01-06,11.1,4
56254,2018-01-07,31.1,5
56255,2018-01-08,37.0,6
56256,2018-01-09,36.0,7
56257,2018-01-10,50.0,8
56258,2018-01-11,59.0,9
56259,2018-01-12,50.0,10
56260,2018-01-13,16.2,11
56261,2018-01-14,17.2,12
56262,2018-01-15,20.1,13
56263,2018-01-16,17.2,14
56264,2018-01-17,27.1,15
56265,2018-01-18,31.1,16
56266,2018-01-19,37.0,17
56267,2018-01-20,44.1,18
56268,2018-01-21,39.0,19
56269,2018-01-22,51.1,20
56270,2018-01-23,46.0,21
56271,2018-01-24,27.1,22
56272,2018-01-25,35.1,23
56273,2018-01-26,53.1,24
56274,2018-01-27,51.1,25
56275,2018-01-28,43.0,26
56276,2018-01-29,28.2,27
56277,2018-01-30,24.3,28
56278,2018-01-31,41.0,29
56279,2018-02-01,34.0,30
56280,2018-02-02,18.1,31
56281,2018-02-03,34.0,32
56282,2018-02-04,31.1,33
56283,2018-02-05,18.1,34
56284,2018-02-06,22.1,35
56285,2018-02-07,23.2,36
56286,2018-02-08,21.2,37
56287,2018-02-09,21.2,38
56288,2018-02-10,20.1,39
56289,2018-02-11,25.2,40
56290,2018-02-12,26.2,41
56291,2018-02-13,28.2,42
56292,2018-02-14,44.1,43
56293,2018-02-15,46.0,44
56294,2018-02-16,36.0,45
56295,2018-02-17,34.0,46
56296,2018-02-18,37.9,47
56297,2018-02-19,55.9,48
56298,2018-02-20,61.0,49
56299,2018-02-21,48.0,50
56300,2018-02-22,41.0,51
56301,2018-02-23,44.1,52
56302,2018-02-24,43.0,53
56303,2018-02-25,48.9,54
56304,2018-02-26,50.0,55
56305,2018-02-27,60.1,56
56306,2018-02-28,60.1,57
56307,2018-03-01,37.9,58
56308,2018-03-02,44.1,59
56309,2018-03-03,42.1,60
56310,2018-03-04,44.1,61
56311,2018-03-05,39.0,62
56312,2018-03-06,37.9,63
56313,2018-03-07,33.1,64
56314,2018-03-08,31.1,65
56315,2018-03-09,33.1,66
56316,2018-03-10,34.0,67
56317,2018-03-11,37.9,68
56318,2018-03-12,39.0,69
56319,2018-03-13,36.0,70
56320,2018-03-14,39.0,71
56321,2018-03-15,37.9,72
56322,2018-03-16,39.0,73
56323,2018-03-17,48.0,74
56324,2018-03-18,55.9,75
56325,2018-03-19,45.0,76
56326,2018-03-20,39.9,77
56327,2018-03-21,37.9,78
56328,2018-03-22,45.0,79
